id,class
0,3
1,3
2,2
3,3
4,1
5,3
6,0
7,3
8,4
9,3
10,3
11,2
12,4
13,3
14,1
15,2
16,0
17,1
18,4
19,0
20,4
21,1
22,2
23,3
24,0
25,3
26,0
27,3
28,0
29,5
30,0
31,0
32,3
33,2
34,3
35,0
36,3
37,2
38,1
39,4
40,1
41,2
42,2
43,1
44,0
45,1
46,1
47,4
48,0
49,0
50,3
51,3
52,0
53,5
54,4
55,5
56,1
57,0
58,0
59,3
60,0
61,3
62,1
63,5
64,1
65,3
66,3
67,5
68,1
69,0
70,1
71,2
72,1
73,3
74,4
75,3
76,1
77,1
78,0
79,1
80,1
81,2
82,1
83,5
84,3
85,3
86,1
87,4
88,3
89,5
90,0
91,2
92,2
93,2
94,2
95,1
96,0
97,3
98,1
99,1
100,3
101,1
102,0
103,4
104,2
105,2
106,0
107,1
108,5
109,4
110,4
111,2
112,2
113,2
114,1
115,0
116,4
117,3
118,4
119,3
120,0
121,1
122,3
123,0
124,2
125,3
126,2
127,0
128,0
129,1
130,0
131,0
132,3
133,1
134,5
135,4
136,2
137,4
138,1
139,5
140,2
141,2
142,0
143,1
144,0
145,0
146,4
147,1
148,0
149,3
150,0
151,3
152,1
153,0
154,3
155,3
156,3
157,1
158,2
159,2
160,3
161,3
162,5
163,3
164,1
165,4
166,0
167,0
168,1
169,1
170,1
171,0
172,0
173,1
174,2
175,3
176,4
177,1
178,2
179,4
180,4
181,4
182,1
183,3
184,5
185,0
186,2
187,1
188,2
189,2
190,1
191,1
192,3
193,2
194,3
195,1
196,1
197,4
198,0
199,1
200,1
201,0
202,0
203,3
204,0
205,0
206,5
207,0
208,0
209,4
210,0
211,0
212,1
213,0
214,3
215,1
216,0
217,0
218,0
219,1
220,2
221,5
222,3
223,1
224,1
225,3
226,3
227,1
228,5
229,1
230,3
231,4
232,3
233,3
234,0
235,1
236,0
237,0
238,0
239,1
240,4
241,4
242,4
243,0
244,3
245,3
246,3
247,5
248,3
249,0
250,4
251,0
252,3
253,3
254,4
255,1
256,5
257,1
258,1
259,1
260,3
261,3
262,1
263,3
264,1
265,3
266,4
267,4
268,1
269,2
270,4
271,1
272,3
273,5
274,3
275,2
276,1
277,4
278,1
279,1
280,0
281,2
282,4
283,1
284,0
285,3
286,0
287,1
288,3
289,4
290,2
291,1
292,2
293,0
294,1
295,3
296,3
297,3
298,4
299,4
300,3
301,0
302,3
303,5
304,3
305,0
306,2
307,1
308,3
309,2
310,4
311,4
312,3
313,0
314,1
315,0
316,0
317,4
318,3
319,1
320,4
321,0
322,1
323,0
324,0
325,4
326,3
327,3
328,1
329,0
330,4
331,4
332,1
333,1
334,3
335,2
336,0
337,3
338,2
339,5
340,3
341,1
342,0
343,4
344,2
345,4
346,3
347,1
348,2
349,3
350,1
351,1
352,0
353,5
354,2
355,4
356,1
357,1
358,1
359,1
360,1
361,3
362,4
363,3
364,0
365,2
366,0
367,2
368,0
369,0
370,2
371,4
372,2
373,1
374,0
375,3
376,1
377,3
378,1
379,3
380,3
381,1
382,0
383,1
384,2
385,3
386,1
387,1
388,2
389,3
390,2
391,1
392,2
393,2
394,2
395,3
396,1
397,4
398,0
399,0
400,1
401,2
402,3
403,0
404,5
405,2
406,2
407,2
408,5
409,4
410,0
411,0
412,5
413,0
414,5
415,3
416,0
417,2
418,0
419,0
420,0
421,2
422,3
423,2
424,1
425,0
426,5
427,3
428,1
429,3
430,4
431,0
432,0
433,0
434,3
435,3
436,3
437,1
438,1
439,4
440,1
441,5
442,0
443,3
444,2
445,5
446,0
447,0
448,2
449,0
450,3
451,4
452,4
453,3
454,3
455,5
456,1
457,4
458,3
459,3
460,4
461,1
462,0
463,3
464,2
465,4
466,0
467,3
468,3
469,3
470,1
471,1
472,1
473,4
474,1
475,1
476,1
477,4
478,3
479,0
480,3
481,0
482,2
483,4
484,4
485,0
486,2
487,1
488,1
489,4
490,1
491,4
492,1
493,4
494,3
495,2
496,2
497,3
498,4
499,4
500,5
501,5
502,4
503,2
504,2
505,2
506,2
507,0
508,3
509,4
510,4
511,0
512,4
513,1
514,2
515,3
516,1
517,2
518,4
519,3
520,3
521,5
522,2
523,3
524,4
525,1
526,4
527,5
528,3
529,5
530,1
531,2
532,3
533,3
534,3
535,1
536,2
537,1
538,2
539,2
540,1
541,4
542,0
543,1
544,2
545,3
546,2
547,2
548,3
549,3
550,1
551,4
552,3
553,4
554,1
555,1
556,0
557,2
558,1
559,4
560,2
561,0
562,2
563,1
564,1
565,5
566,1
567,4
568,0
569,1
570,0
571,2
572,3
573,1
574,1
575,2
576,0
577,4
578,1
579,4
580,2
581,3
582,2
583,3
584,2
585,3
586,3
587,4
588,3
589,1
590,5
591,1
592,5
593,2
594,1
595,1
596,3
597,4
598,3
599,4
600,1
601,5
602,4
603,1
604,3
605,2
606,5
607,4
608,2
609,2
610,3
611,1
612,4
613,3
614,0
615,0
616,0
617,0
618,1
619,3
620,3
621,3
622,3
623,1
624,1
625,2
626,4
627,4
628,4
629,2
630,4
631,4
632,0
633,4
634,0
635,5
636,3
637,0
638,2
639,2
640,4
641,4
642,1
643,4
644,0
645,3
646,4
647,1
648,2
649,0
650,1
651,2
652,1
653,2
654,2
655,4
656,5
657,0
658,1
659,3
660,0
661,4
662,3
663,4
664,0
665,3
666,0
667,0
668,0
669,2
670,2
671,2
672,0
673,0
674,5
675,1
676,2
677,2
678,4
679,0
680,3
681,0
682,3
683,4
684,2
685,4
686,1
687,4
688,0
689,2
690,4
691,2
692,1
693,2
694,4
695,2
696,2
697,0
698,1
699,4
700,1
701,0
702,1
703,4
704,0
705,2
706,0
707,4
708,2
709,2
710,2
711,2
712,0
713,1
714,1
715,1
716,4
717,3
718,0
719,0
720,1
721,5
722,1
723,4
724,1
725,5
726,1
727,4
728,0
729,0
730,2
731,0
732,1
733,4
734,4
735,0
736,3
737,2
738,1
739,4
740,1
741,1
742,2
743,1
744,1
745,1
746,5
747,4
748,0
749,1
750,1
751,0
752,1
753,2
754,3
755,0
756,4
757,1
758,0
759,3
760,0
761,5
762,1
763,1
764,4
765,0
766,3
767,1
768,4
769,3
770,4
771,3
772,3
773,1
774,3
775,1
776,1
777,3
778,3
779,1
780,3
781,3
782,0
783,5
784,3
785,1
786,3
787,4
788,2
789,4
790,1
791,1
792,3
793,3
794,0
795,1
796,3
797,2
798,0
799,2
800,3
801,3
802,2
803,0
804,4
805,5
806,2
807,3
808,2
809,1
810,4
811,1
812,1
813,0
814,3
815,0
816,1
817,1
818,3
819,3
820,1
821,3
822,2
823,2
824,2
825,0
826,0
827,0
828,1
829,3
830,2
831,4
832,2
833,3
834,0
835,2
836,1
837,0
838,0
839,4
840,2
841,5
842,0
843,0
844,2
845,2
846,2
847,2
848,1
849,4
850,2
851,0
852,2
853,3
854,4
855,1
856,3
857,4
858,1
859,0
860,0
861,5
862,5
863,1
864,1
865,2
866,0
867,0
868,0
869,3
870,3
871,1
872,1
873,0
874,5
875,1
876,1
877,1
878,1
879,3
880,1
881,4
